2026-04-02 15:56:04,830 | doc_id=53 | status=422 | {"error":"PDF sem texto extraível"}
2026-04-02 15:56:06,583 | doc_id=54 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:56:08,142 | doc_id=55 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:56:10,562 | doc_id=56 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:56:12,020 | doc_id=57 | status=422 | {"error":"PDF sem texto extraível"}
2026-04-02 15:56:13,750 | doc_id=58 | status=422 | {"error":"PDF sem texto extraível"}
2026-04-02 15:56:16,068 | doc_id=59 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:56:18,229 | doc_id=60 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:56:19,790 | doc_id=61 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:56:23,559 | doc_id=62 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:56:25,301 | doc_id=63 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:56:28,989 | doc_id=65 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:56:30,718 | doc_id=66 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:56:32,472 | doc_id=67 | status=422 | {"error":"PDF sem texto extraível"}
2026-04-02 15:56:39,262 | doc_id=70 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:56:41,170 | doc_id=71 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:56:45,039 | doc_id=72 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:56:46,786 | doc_id=73 | status=422 | {"error":"PDF sem texto extraível"}
2026-04-02 15:56:48,590 | doc_id=74 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:56:50,274 | doc_id=75 | status=422 | {"error":"PDF sem texto extraível"}
2026-04-02 15:56:52,390 | doc_id=76 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:56:53,911 | doc_id=77 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:56:55,769 | doc_id=78 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:56:57,390 | doc_id=79 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:56:58,066 | doc_id=80 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:56:58,766 | doc_id=81 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:57:02,664 | doc_id=82 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:57:04,461 | doc_id=83 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:57:05,768 | doc_id=84 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:57:07,072 | doc_id=85 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:57:09,366 | doc_id=86 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:57:11,226 | doc_id=87 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:57:13,114 | doc_id=88 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:57:16,042 | doc_id=89 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:57:17,620 | doc_id=90 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:57:19,366 | doc_id=91 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:57:23,630 | doc_id=92 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:57:25,140 | doc_id=93 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:57:26,927 | doc_id=94 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:57:28,939 | doc_id=95 | status=422 | {"error":"PDF sem texto extraível"}
2026-04-02 15:57:32,775 | doc_id=97 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:57:34,151 | doc_id=98 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:57:45,102 | doc_id=101 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:57:49,062 | doc_id=102 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:57:51,043 | doc_id=103 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:57:52,336 | doc_id=104 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:57:54,212 | doc_id=105 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:57:56,089 | doc_id=106 | status=422 | {"error":"PDF sem texto extraível"}
2026-04-02 15:57:57,781 | doc_id=107 | status=422 | {"error":"PDF sem texto extraível"}
2026-04-02 15:57:59,446 | doc_id=108 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:58:01,404 | doc_id=109 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:58:03,622 | doc_id=110 | status=422 | {"error":"PDF sem texto extraível"}
2026-04-02 15:58:05,409 | doc_id=111 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:58:09,255 | doc_id=112 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:58:11,344 | doc_id=113 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
